Date,Price,Open,High,Low,Vol.,Change %
7/9/2018,99.05,100.28,100.28,98.63,845.57K,-1.21%
7/10/2018,99.81,99.05,100.08,98.58,730.67K,0.77%
7/11/2018,100.19,99.73,100.43,99.29,580.14K,0.38%
7/12/2018,99.68,99.34,99.84,98.55,318.57K,-0.51%
7/13/2018,99.45,99.83,100.11,99.1,325.93K,-0.23%
7/16/2018,99.14,99.16,99.46,98.4,430.60K,-0.31%
7/17/2018,98.45,99.35,99.41,98.08,496.19K,-0.70%
7/18/2018,98.42,98.39,98.85,97.7,353.60K,-0.03%
7/19/2018,99.52,98.16,100.17,98.16,338.70K,1.12%
7/20/2018,97.9,99.24,99.35,97.48,532.97K,-1.63%
7/23/2018,97.89,97.86,98.01,97.05,394.16K,-0.01%
7/24/2018,97.6,97.86,97.9,96.95,466.75K,-0.30%
7/25/2018,98.52,97.87,99.17,97.78,461.82K,0.94%
7/26/2018,99.11,98.96,99.37,98.49,281.40K,0.60%
7/27/2018,98.66,99.37,99.47,98.11,304.69K,-0.45%
7/30/2018,98.65,98.66,99.01,98.04,238.49K,-0.01%
7/31/2018,100.78,99.06,101.39,97.83,459.60K,2.16%
8/1/2018,101.12,99.99,101.28,99.32,502.05K,0.34%
8/2/2018,99.91,99.79,100.31,98.3,864.74K,-1.20%
8/3/2018,101.85,99.79,102.11,99.14,510.13K,1.94%
8/6/2018,101.33,101.81,102.46,101.16,379.96K,-0.51%
8/7/2018,101.03,101.24,101.24,100.24,661.53K,-0.30%
8/8/2018,100.48,101.24,101.41,100.27,353.69K,-0.54%
8/9/2018,101.21,100.58,101.28,100.42,311.33K,0.73%
8/10/2018,99.85,101,101.48,99.79,289.34K,-1.34%
8/13/2018,100.72,99.75,100.91,99.71,462.95K,0.87%
8/14/2018,101.15,100.66,101.74,100.47,294.86K,0.43%
8/15/2018,101.69,100.85,101.89,100.59,307.49K,0.53%
8/16/2018,102.44,101.9,102.49,101.39,362.35K,0.74%
8/17/2018,103.09,102.46,103.15,102.25,331.91K,0.63%
8/20/2018,103.13,103.48,104.04,103.01,371.06K,0.04%
8/21/2018,102.04,102.91,103.51,101.81,340.78K,-1.06%
8/22/2018,102.09,101.86,102.36,101.55,303.42K,0.05%
8/23/2018,102.24,102.26,102.58,101.73,269.04K,0.15%
8/24/2018,103.53,102,103.8,102,467.38K,1.26%
8/27/2018,103.57,103.81,103.93,103.14,579.36K,0.04%
8/28/2018,104.49,103.47,104.59,103.06,467.37K,0.89%
8/29/2018,104.01,104.73,104.77,103.87,350.43K,-0.46%
8/30/2018,103.43,104.32,104.32,103.23,304.57K,-0.56%
8/31/2018,103.56,103.35,103.88,103,390.96K,0.13%
9/4/2018,103.01,103.21,104.09,102.4,347.89K,-0.53%
9/5/2018,103.51,102.67,103.96,102.32,591.90K,0.49%
9/6/2018,103.66,103.82,104.51,103.58,517.36K,0.14%
9/7/2018,102.75,103.17,103.25,102.38,530.04K,-0.88%
9/10/2018,104.01,103.17,104.66,103.17,475.64K,1.23%
9/11/2018,104.03,103.67,104.98,103.28,482.19K,0.02%
9/12/2018,103.72,104.06,104.18,103.46,335.43K,-0.30%
9/13/2018,103.75,104.32,104.35,103.58,598.11K,0.03%
9/14/2018,102.28,103.46,103.48,101.59,913.54K,-1.42%
9/17/2018,103.12,102.3,103.48,101.86,934.37K,0.82%
9/18/2018,103,103.12,103.2,102.41,457.64K,-0.12%
9/19/2018,101.79,103.14,103.23,101.47,460.98K,-1.17%
9/20/2018,102.49,101.86,102.53,101.31,533.27K,0.69%
9/21/2018,103.05,102.39,103.97,101.75,1.00M,0.55%
9/24/2018,100.63,102.81,102.81,100.33,697.58K,-2.35%
9/25/2018,100.94,100.6,101.33,100.16,526.03K,0.31%
9/26/2018,99.59,100.99,101.61,99.5,528.61K,-1.34%
9/27/2018,98.91,99.49,100.3,98.88,893.82K,-0.68%
9/28/2018,100.18,99.07,100.21,99.07,964.04K,1.28%
10/1/2018,99.56,100.23,100.31,99.34,512.36K,-0.62%
10/2/2018,99.83,99.7,100.34,99.31,471.36K,0.27%
10/3/2018,98.64,99.82,100.11,97.77,463.70K,-1.19%
10/4/2018,98.04,98.13,98.54,96.97,521.03K,-0.61%
10/5/2018,98.24,98.23,99.02,98.09,565.52K,0.20%
10/8/2018,99.85,98.44,100.39,98.44,596.10K,1.64%
10/9/2018,99.99,99.86,100.13,98.92,753.78K,0.14%
10/10/2018,98.47,99.68,100.36,98.32,705.33K,-1.52%
