Date,Price,Open,High,Low,Vol.,Change %
11/3/2016,102.5,105.02,105.09,102.42,861.30K,-1.96%
11/4/2016,103,102.55,103.31,101.73,612.52K,0.49%
11/7/2016,106.03,104.53,106.23,104.07,342.62K,2.94%
11/8/2016,107.08,106.15,107.44,104.5,345.63K,0.99%
11/9/2016,109.06,104.7,109.43,103.66,787.63K,1.85%
11/10/2016,105.93,109.1,110.21,105.8,1.13M,-2.87%
11/11/2016,104.46,105.91,107.55,104.29,744.11K,-1.39%
11/14/2016,106.24,104.36,106.31,103.32,1.07M,1.70%
11/15/2016,106.6,106.8,108.24,105.23,497.86K,0.34%
11/16/2016,106.9,106.46,107.04,104.87,370.89K,0.28%
11/17/2016,107.31,106.82,108.05,106.49,318.51K,0.38%
11/18/2016,107.4,107.51,107.91,106.99,291.28K,0.08%
11/21/2016,108.55,107.89,108.89,107.89,443.52K,1.07%
11/22/2016,111.07,109.04,111.53,109.04,623.75K,2.32%
11/23/2016,110.62,109.65,110.74,109.27,476.04K,-0.41%
11/25/2016,111.96,110.86,112.36,110.86,215.46K,1.21%
11/28/2016,112.12,112.05,113.06,111.36,438.30K,0.14%
11/29/2016,111.72,112.26,114.02,111.56,697.88K,-0.36%
11/30/2016,109.59,110.82,111.32,108.98,1.32M,-1.91%
12/1/2016,107.16,109.07,109.54,106.1,676.47K,-2.22%
12/2/2016,108.94,107.99,110.02,107.89,514.45K,1.66%
12/5/2016,110.07,109.75,110.68,109.35,639.26K,1.04%
12/6/2016,111,110.5,111.61,109.85,802.65K,0.84%
12/7/2016,111,111.04,111.58,110.23,744.20K,0.00%
12/8/2016,110.62,110.28,110.93,109.45,633.62K,-0.34%
12/9/2016,109.92,110.62,111.11,109.2,518.64K,-0.63%
12/12/2016,109.73,109.38,110.01,108.44,602.31K,-0.17%
12/13/2016,108.99,110.16,110.39,107.77,648.03K,-0.67%
12/14/2016,106.87,109.01,109.31,106.72,611.40K,-1.95%
12/15/2016,106,106.92,108.4,105.74,1.39M,-0.81%
12/16/2016,107.97,106.66,108.88,106.34,1.33M,1.86%
12/19/2016,109.65,108.72,110,107.39,782.80K,1.56%
12/20/2016,111.01,109.64,111.02,109.35,395.93K,1.24%
12/21/2016,109.03,111.2,111.82,109.01,509.74K,-1.78%
12/22/2016,108.52,108.95,108.95,106.87,392.65K,-0.47%
12/23/2016,109.3,108.54,109.49,108.34,156.97K,0.72%
12/27/2016,109.63,109.44,110.85,109.18,258.35K,0.30%
12/28/2016,108.54,108.75,109.3,108,323.12K,-0.99%
12/29/2016,110.45,108.71,110.62,108.71,578.08K,1.76%
12/30/2016,111.13,110.66,112.25,110.24,553.14K,0.62%
1/3/2017,110.58,111.85,112.19,109.92,424.75K,-0.49%
1/4/2017,113.38,110.82,113.62,110.82,515.91K,2.53%
1/5/2017,112.97,112.6,113.49,110.97,394.85K,-0.36%
1/6/2017,112.21,112.63,113.21,112.14,472.33K,-0.67%
1/9/2017,111.05,112.66,112.88,110.9,441.58K,-1.03%
1/10/2017,110.85,110.88,111.42,110.03,345.54K,-0.18%
1/11/2017,109.61,111.27,111.68,109.51,489.25K,-1.12%
1/12/2017,109.31,109.73,111.31,107.7,380.06K,-0.27%
1/13/2017,109.55,109.18,109.77,108.81,234.08K,0.22%
1/17/2017,110.52,109.51,110.7,109,363.99K,0.89%
1/18/2017,111.02,110.5,111.59,109.72,230.46K,0.45%
1/19/2017,109.91,110.9,111.11,108.83,348.78K,-1.00%
1/20/2017,111.15,109.98,111.64,109.9,442.68K,1.13%
1/23/2017,113.43,110.95,114.18,110.95,496.24K,2.05%
1/24/2017,114.12,113.52,114.63,113.52,515.68K,0.61%
1/25/2017,113.4,114.23,114.33,113.07,266.52K,-0.63%
1/26/2017,113.3,113.51,114.53,112.97,293.44K,-0.09%
1/27/2017,112.79,113.56,113.98,111.98,432.70K,-0.45%
1/30/2017,112.16,112.23,112.55,110.79,418.18K,-0.56%
1/31/2017,110.82,111.71,112.94,110.13,704.13K,-1.19%
2/1/2017,108.28,110.65,111.48,108.19,603.20K,-2.29%
2/2/2017,109.06,108.72,109.14,108.13,701.73K,0.72%
2/3/2017,110.64,110,110.9,109.13,792.92K,1.45%
2/6/2017,112.69,110.89,112.8,110.7,1.04M,1.85%
2/7/2017,113.24,112.68,114.01,112.68,591.35K,0.49%
2/8/2017,114.54,113.28,115.07,112.57,666.24K,1.15%
2/9/2017,114.98,114.79,115.46,114.25,622.99K,0.38%
2/10/2017,114.37,114.92,115.15,114.22,2.64M,-0.53%
